Jurisdictions,Effective Date,Valid Through Date,Bans_Prohibit,_citation_Bans_Prohibit,_caution_Bans_Prohibit,Prohibit_Req,_citation_Prohibit_Req,_caution_Prohibit_Req,Prohibit_When,_citation_Prohibit_When,_caution_Prohibit_When,Prohibit_Exc,_citation_Prohibit_Exc,_caution_Prohibit_Exc,Exc_Req,_citation_Exc_Req,_caution_Exc_Req,Reason_Prohibit,_citation_Reason_Prohibit,_caution_Reason_Prohibit,Reason_What,_citation_Reason_What,_caution_Reason_What,Methods_Prohibit,_citation_Methods_Prohibit,_caution_Methods_Prohibit,Methods_Proced,_citation_Methods_Proced,_caution_Methods_Proced,Methods_Exc,_citation_Methods_Exc,_caution_Methods_Exc,Limited_Law,_citation_Limited_Law,_caution_Limited_Law,Limited_Court,_citation_Limited_Court,_caution_Limited_Court,Limited_AG,_citation_Limited_AG,_caution_Limited_AG
Alabama,10/26/2017,12/1/2018,1,"Postfertilization prohibition - Ala. Code § 26-23-B5(a) ( Full Title: Ala. Code § 26-23-B5. Abortion prohibited where postfertilization age of unborn child at least 20 weeks; exception), partial-birth abortion prohibited - Ala. Code § 26-23-3 ( Full Title: Ala. Code § 26-23-3. Felony conviction (Held unconstitutional)), Dismemberment prohibition - Ala. Code § 26-23(a) ( Full Title: Ala. Code § 26-23G-3. Dismemberment abortion prohibited unless necessary to prevent serious health risk to mother of unborn child (Held unconstitutional))",,1,"Viable prohibition - Ala. Code § 26-22-3(a) ( Full Title: Ala. Code § 26-22-3. Prohibition, exceptions, and regulations), Postfertilization prohibition - Ala. Code § 26-23-B5(a) ( Full Title: Ala. Code § 26-23-B5. Abortion prohibited where postfertilization age of unborn child at least 20 weeks; exception)",,20 weeks postfertilization (22 weeks LMP),"Viable prohibition - Ala. Code § 26-22-3(a) ( Full Title: Ala. Code § 26-22-3. Prohibition, exceptions, and regulations), Postfertilization prohibition - Ala. Code § 26-23-B5(a) ( Full Title: Ala. Code § 26-23-B5. Abortion prohibited where postfertilization age of unborn child at least 20 weeks; exception), viability definition - Ala. Code § 26-22-2(9) ( Full Title: Ala. Code § 26-22-2. Definitions), postfertilization age definition - Ala. Code § 26-23B-3(8) ( Full Title: Ala. Code § 26-23B-3. Definitions)","There are three bans in this state: one that prohibits abortion from conception, one that prohibits abortions after 20 weeks postfertilization and one that prohibits abortions when the fetus has reach the point of viability. Ala. Code § 13A-13-7; Ala. Code § 26-23-B5; Ala. Code § 26-22-3.","Life endangerment, Serious health risk",Postfertilization prohibition - Ala. Code § 26-23-B5(a) ( Full Title: Ala. Code § 26-23-B5. Abortion prohibited where postfertilization age of unborn child at least 20 weeks; exception),The exception for serious health risk is limited to physical health. Ala. Code § 26-23-B5(a).,Must use a method most likely to result in fetal survival,Postfertilization exception - Ala. Code § 26-23-B5(b) ( Full Title: Ala. Code § 26-23-B5. Abortion prohibited where postfertilization age of unborn child at least 20 weeks; exception),,0,,,,,,1,"partial-birth abortion prohibited - Ala. Code § 26-23-3 ( Full Title: Ala. Code § 26-23-3. Felony conviction (Held unconstitutional)), Dismemberment prohibition - Ala. Code § 26-23(a) ( Full Title: Ala. Code § 26-23G-3. Dismemberment abortion prohibited unless necessary to prevent serious health risk to mother of unborn child (Held unconstitutional))",,"Partial-birth abortions, Dismemberment abortions","partial-birth abortion definition - Ala. Code § 26-23-2 ( Full Title: Ala. Code § 26-23-2. Definitions (Held unconstitutional)), partial-birth abortion prohibited - Ala. Code § 26-23-3 ( Full Title: Ala. Code § 26-23-3. Felony conviction (Held unconstitutional)), Dismemberment prohibition - Ala. Code § 26-23(a) ( Full Title: Ala. Code § 26-23G-3. Dismemberment abortion prohibited unless necessary to prevent serious health risk to mother of unborn child (Held unconstitutional)), dismemberment abortion definition - Ala. Code § 26-23G-2(3) ( Full Title: Ala. Code § 26-23G-2. Definitions (Held unconstitutional))",,"Life endangerment, Serious health risk","partial-birth abortion exception - Ala. Code § 26-23-4 ( Full Title: Ala. Code § 26-23-4. Life of mother exception (Held unconstitutional)), dismemberment health risk - Ala. Code § 26-23G-3(b) ( Full Title: Ala. Code § 26-23G-3. Dismemberment abortion prohibited unless necessary to prevent serious health risk to mother of unborn child (Held unconstitutional)), Serious health risk - Ala. Code § 26-23G-2(6) ( Full Title: Ala. Code § 26-23G-2. Definitions (Held unconstitutional))","Partial-birth abortions are permitted when they are necessary to save the life of the mother. Ala. Code § 26-23-4. The dismemberment ban exception for serious health risk is limited to physical health. Ala. Code § 26-23G-2(3).Dismemberment abortions are permitted when they are necessary avert the death or serious risk of substantial and irreversible physical impairment of a major bodily function, not including psychological or emotional conditions. Ala. Code § 26-23G-3(b); Ala. Code § 26-23G-2(6).",1,"Summit Medical Associates - Summit Medical Associates, P.C. v. Siegelman, 130 F. Supp. 2d 1307 ( ( Full Title: Summit Medical Associates, P.C. v. Siegelman, 130 F. Supp. 2d 1307 (M.D. Ala. 2001)), Dismemberment ban unconstitutional - West Alabama Women’s Center v. Miller, 299 F.Supp.3d 1244 (M.D. Ala. 2017) (Pending appeal to 11th Cir. filed 11/22/17) ( Full Title: West Alabama Women’s Center v. Miller, 299 F.Supp.3d 1244 (M.D. Ala. 2017) (Pending appeal to 11th Cir. filed 11/22/17))",,1,"Summit Medical Associates - Summit Medical Associates, P.C. v. Siegelman, 130 F. Supp. 2d 1307 ( ( Full Title: Summit Medical Associates, P.C. v. Siegelman, 130 F. Supp. 2d 1307 (M.D. Ala. 2001)), Dismemberment ban unconstitutional - West Alabama Women’s Center v. Miller, 299 F.Supp.3d 1244 (M.D. Ala. 2017) (Pending appeal to 11th Cir. filed 11/22/17) ( Full Title: West Alabama Women’s Center v. Miller, 299 F.Supp.3d 1244 (M.D. Ala. 2017) (Pending appeal to 11th Cir. filed 11/22/17))","The provisions prohibiting partial-birth abortion were held unconstitutional. Summit Medical Associates, P.C. v. Siegelman, 130 F. Supp. 2d 1307 (M.D. Ala. 2001) (February 26, 2001). The provisions prohibiting dismemberment abortion were held unconstitutional in West Alabama Women’s Center v. Miller, 299 F.Supp.3d 1244  (M.D. Ala. 2017) (October 26, 2017) (Pending appeal to 11th Cir. filed 11/22/17).",0,,
Alaska,7/19/2017,12/1/2018,1,Partial-birth abortion ban - Alaska Stat. § 18.16.050 (a) ( Full Title: Alaska Stat. § 18.16.050. Partial-birth abortions),,0,,,,,,,,,,,,0,,,,,,1,Partial-birth abortion ban - Alaska Stat. § 18.16.050 (a) ( Full Title: Alaska Stat. § 18.16.050. Partial-birth abortions),,Partial-birth abortions,Partial-birth abortion ban - Alaska Stat. § 18.16.050 (a) ( Full Title: Alaska Stat. § 18.16.050. Partial-birth abortions),,No exceptions,,,0,,,0,,,0,,
Arizona,8/9/2017,12/1/2018,1,"Twenty weeks prohibition - Ariz. Rev. Stat. § 36-2159(B) ( Full Title: Ariz. Rev. Stat. § 36-2159. Abortion; gestational age; violation; classification; unprofessional conduct; civil relief; statutes of limitations (Held Unconstitutional)), sex and race abortion - Ariz. Rev. Stat. § 13-3603.02(A) ( Full Title: Ariz. Rev. Stat. § 13-3603.02. Abortion; sex and race selection; injunctive and civil relief; failure to report; definition), Partial-birth abortion - Ariz. Rev. Stat. § 13-3603.01(A) ( Full Title: Ariz. Rev. Stat. § 13-3603.01. Partial-birth abortions; classification; civil action; definitions)",,1,"Twenty weeks prohibition - Ariz. Rev. Stat. § 36-2159(B) ( Full Title: Ariz. Rev. Stat. § 36-2159. Abortion; gestational age; violation; classification; unprofessional conduct; civil relief; statutes of limitations (Held Unconstitutional)), Viability prohibition - Ariz. Rev. Stat. § 36-2301.01(A) ( Full Title: Ariz. Rev. Stat. § 36-2301.01. Abortion of viable fetus; requirements; definitions)",,18 weeks postfertilization (20 weeks LMP),"Twenty weeks prohibition - Ariz. Rev. Stat. § 36-2159(B) ( Full Title: Ariz. Rev. Stat. § 36-2159. Abortion; gestational age; violation; classification; unprofessional conduct; civil relief; statutes of limitations (Held Unconstitutional)), Viability prohibition - Ariz. Rev. Stat. § 36-2301.01(A) ( Full Title: Ariz. Rev. Stat. § 36-2301.01. Abortion of viable fetus; requirements; definitions), Gestational age - Ariz. Rev. Stat. § 36-2151 (4) ( Full Title: Ariz. Rev. Stat. § 36-2151. Definitions)",There are two bans in Arizona: a 20-week LMP ban (Ariz. Rev. Stat. § 36-2159; Ariz. Rev. Stat. § 36-2151 (4)); and a post-viability ban (Ariz. Rev. Stat. § 36-2301.01).,"Life endangerment, Serious health risk","Twenty weeks prohibition - Ariz. Rev. Stat. § 36-2159(B) ( Full Title: Ariz. Rev. Stat. § 36-2159. Abortion; gestational age; violation; classification; unprofessional conduct; civil relief; statutes of limitations (Held Unconstitutional)), Viability prohibition exception - Ariz. Rev. Stat. § 36-2301.01(B) ( Full Title: Ariz. Rev. Stat. § 36-2301.01. Abortion of viable fetus; requirements; definitions), Medical emergency definition - Ariz. Rev. Stat. § 36-2301.01(C)(2) ( Full Title: Ariz. Rev. Stat. § 36-2301.01. Abortion of viable fetus; requirements; definitions), medical emergency - Ariz. Rev. Stat. § 36-2151(6) ( Full Title: Ariz. Rev. Stat. § 36-2151. Definitions)",,No requirements,,,1,sex and race abortion - Ariz. Rev. Stat. § 13-3603.02(A) ( Full Title: Ariz. Rev. Stat. § 13-3603.02. Abortion; sex and race selection; injunctive and civil relief; failure to report; definition),,"Race, Sex","sex and race abortion - Ariz. Rev. Stat. § 13-3603.02(A) ( Full Title: Ariz. Rev. Stat. § 13-3603.02. Abortion; sex and race selection; injunctive and civil relief; failure to report; definition), race and sex prohibited - Ariz. Rev. Stat. § 36-2157 ( Full Title: Ariz. Rev. Stat. § 36-2157. Affidavit)",,1,"Partial-birth abortion - Ariz. Rev. Stat. § 13-3603.01(A) ( Full Title: Ariz. Rev. Stat. § 13-3603.01. Partial-birth abortions; classification; civil action; definitions), partial-birth abortion defined - Ariz. Rev. Stat. § 13-3603.01(F)(1) ( Full Title: Ariz. Rev. Stat. § 13-3603.01. Partial-birth abortions; classification; civil action; definitions)",,Partial-birth abortions,Partial-birth abortion - Ariz. Rev. Stat. § 13-3603.01(A) ( Full Title: Ariz. Rev. Stat. § 13-3603.01. Partial-birth abortions; classification; civil action; definitions),,Life endangerment,partial-birth ban exception - Ariz. Rev. Stat. § 13-3603.01 ( Full Title: Ariz. Rev. Stat. § 13-3603.01. Partial-birth abortions; classification; civil action; definitions),,1,"20 week ban unconstitutional - Isaacson v. Horne, 716 F.3d 1213 (9th Cir. 2013) ( Full Title: Isaacson v. Horne, 716 F.3d 1213 (9th Cir. 2013))",,1,"Twenty weeks prohibition - Ariz. Rev. Stat. § 36-2159(B) ( Full Title: Ariz. Rev. Stat. § 36-2159. Abortion; gestational age; violation; classification; unprofessional conduct; civil relief; statutes of limitations (Held Unconstitutional)), 20 week ban unconstitutional - Isaacson v. Horne, 716 F.3d 1213 (9th Cir. 2013) ( Full Title: Isaacson v. Horne, 716 F.3d 1213 (9th Cir. 2013))",The court in Isaacson v. Horne held that the statute banning abortions after a probable gestational age of 20 weeks was unconstitutional. 716 F.3d 1213 (9th Cir. 2013),0,,
Arkansas,1/1/2018,12/1/2018,1,"Viability ban - Ark. Code § 20-16-705 (a) ( Full Title: Ark. Code § 20-16-705. Abortion of viable fetus prohibited -- Exceptions.), Partial-birth abortion ban - Ark. Code § 20-16-1203 (a) (1) ( Full Title: Ark. Code § 20-16-1203. Partial-birth abortions prohibited—Penalty—Exception.), 12 week ban - Ark. Code § 20-16-1304 (a) ( Full Title: Ark. Code § 20-16-1304. Prohibitions.), 20 week ban - Ark. Code § 20-16-1405 (a) (1) ( Full Title: Ark. Code § 20-16-1405. Abortion of unborn child of twenty (20) or more weeks post-fertilization age prohibited.)",,1,12 week ban - Ark. Code § 20-16-1304 (a) ( Full Title: Ark. Code § 20-16-1304. Prohibitions.),,12 weeks postfertilization (14 weeks LMP),12 week ban - Ark. Code § 20-16-1304 (a) ( Full Title: Ark. Code § 20-16-1304. Prohibitions.),"There are four bans in Arkansas: a post-viability ban (Ark. Code § 20-16-705 (a)); a 20-weeks post-fertilization ban (Ark. Code § 20-16-1405 (a) (1)); a 12 week gestational age ban when the fetal heartbeat has been detected (Ark. Code § 20-16-1304 (a)); and a total ban (Ark. Code § 5-61-102 (a)). The earliest ban is the 12 weeks gestational age ban, and this applies only when the fetal heartbeat has been detected. Ark. Code § 20-16-1304 (a).","Life endangerment, Serious health risk, Fetal anomaly, Rape, Incest","12 week ban exceptions - Ark. Code § 20-16-1305 (b) ( Full Title: Ark. Code § 20-16-1305. Exemptions.), Medical emergency definition - Ark. Code § 20-16-1302 (6) ( Full Title: Ark. Code § 20-16-1302. Definitions.)",The exception for a fetal anomaly is limited to a highly lethal fetal disorder as defined by the Arkansas State Medical Board. Ark. Code § 20-16-1302 (6) (B).,No requirements,,,1,Sex selection ban - Ark. Code § 20-16-1904 (a) ( Full Title: Ark. Code § 20-16-1904. Prohibition –Sex-selection abortion.),,Sex,Sex selection ban - Ark. Code § 20-16-1904 (a) ( Full Title: Ark. Code § 20-16-1904. Prohibition –Sex-selection abortion.),,1,"Dismemberment abortion - Ark. Code § 20-16-1803 (a) ( Full Title: Ark. Code § 20-16-1803. Ban on dismemberment abortion.), Partial-birth abortion ban - Ark. Code § 20-16-1203 (a) (1) ( Full Title: Ark. Code § 20-16-1203. Partial-birth abortions prohibited—Penalty—Exception.)",,"Partial-birth abortions, Dismemberment abortions","Partial-birth abortion ban - Ark. Code § 20-16-1203 (a) (1) ( Full Title: Ark. Code § 20-16-1203. Partial-birth abortions prohibited—Penalty—Exception.), Dismemberment abortion - Ark. Code § 20-16-1803 (a) ( Full Title: Ark. Code § 20-16-1803. Ban on dismemberment abortion.)",,Life endangerment,Partial-birth ban exception - Ark. Code § 20-16-1203 (a) (2) ( Full Title: Ark. Code § 20-16-1203. Partial-birth abortions prohibited—Penalty—Exception.),"Life endangerment is an exception to the ban on partial-birth abortions. Ark. Code § 20-16-1203 (a) (2). There is no explicit exception to the ban on dismemberment abortions, but a person accused of performing a dismemberment abortion may seek a hearing before the Arkansas State Medical Board regarding whether the dismemberment abortion was necessary to prevent a serious health risk to the pregnant woman. Ark. Code § 20-16-1803 (a).",1,"12 week ban unconstitutional - Edwards v. Beck, 8 F. Supp. 3d 1091 (E.D. Ark. 2014) ( Full Title: Edwards v. Beck, 8 F. Supp. 3d 1091 (E.D. Ark. 2014)), Dismemberment ban injunction - Hopkins v. Jegley, 267 F.Supp.3d 1024 (E.D. Ark. 2017) ( Full Title: Hopkins v. Jegley, 267 F.Supp.3d 1024 (E.D. Ark. 2017))",,1,"12 week ban unconstitutional - Edwards v. Beck, 8 F. Supp. 3d 1091 (E.D. Ark. 2014) ( Full Title: Edwards v. Beck, 8 F. Supp. 3d 1091 (E.D. Ark. 2014)), Dismemberment ban injunction - Hopkins v. Jegley, 267 F.Supp.3d 1024 (E.D. Ark. 2017) ( Full Title: Hopkins v. Jegley, 267 F.Supp.3d 1024 (E.D. Ark. 2017))",The court in Edwards v. Beck held the 12 week ban unconstitutional. 8 F. Supp. 3d 1091 (E.D. Ark. 2014). The court in Hopkins v. Jegley issued a preliminary injunction prohibiting the enforcement of the ban on dismemberment abortions. 267 F.Supp.3d 1024 (E.D. Ark. 2017).,0,,
California,1/1/2014,12/1/2018,1,viable fetus - Cal. Health & Safety... ( Full Title: Cal. Health & Safety Code § 123464. Definitions),,1,viable fetus - Cal. Health & Safety... ( Full Title: Cal. Health & Safety Code § 123464. Definitions),,Viability,"viable fetus - Cal. Health & Safety... ( Full Title: Cal. Health & Safety Code § 123464. Definitions), viability means - Cal. Health & Safety... ( Full Title: Cal. Health & Safety Code § 123464. Definitions)",,"Life endangerment, Serious health risk",viable fetus - Cal. Health & Safety... ( Full Title: Cal. Health & Safety Code § 123464. Definitions),,No requirements,,,0,,,,,,0,,,,,,,,,0,,,0,,,0,,
Colorado,12/1/2018,12/1/2018,0,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,0,,,0,,
Connecticut,8/1/2005,12/1/2018,1,3rd trimester ban - Conn. Agencies Regs. § 19-13-D54 (h) ( Full Title: Conn. Agencies Regs. § 19-13-D54. Abortions),,1,3rd trimester ban - Conn. Agencies Regs. § 19-13-D54 (h) ( Full Title: Conn. Agencies Regs. § 19-13-D54. Abortions),,3rd trimester,3rd trimester ban - Conn. Agencies Regs. § 19-13-D54 (h) ( Full Title: Conn. Agencies Regs. § 19-13-D54. Abortions),There are two bans in Connecticut: a third trimester ban (Conn. Agencies Regs. § 19-13-D54 (h)); and a post-viability ban (Conn. Gen. Stat. § 19a-602 (b)).,"Life endangerment, Health",3rd trimester ban - Conn. Agencies Regs. § 19-13-D54 (h) ( Full Title: Conn. Agencies Regs. § 19-13-D54. Abortions),,Must be performed in a hospital,Hospital requirement - Conn. Agencies Regs. § 19-13-D54 (c) ( Full Title: Conn. Agencies Regs. § 19-13-D54. Abortions),,0,,,,,,0,,,,,,,,,0,,,0,,,0,,
Delaware,6/16/2017,12/1/2018,1,"Post-viability ban - Del. Code tit. 24, § 1790 (b) ( Full Title: Del. Code tit. 24, § 1790. Termination of pregnancy before viability not prohibited; termination of pregnancy after viability limited.)",,1,"Post-viability ban - Del. Code tit. 24, § 1790 (b) ( Full Title: Del. Code tit. 24, § 1790. Termination of pregnancy before viability not prohibited; termination of pregnancy after viability limited.)",,Viability,"Post-viability ban - Del. Code tit. 24, § 1790 (b) ( Full Title: Del. Code tit. 24, § 1790. Termination of pregnancy before viability not prohibited; termination of pregnancy after viability limited.)",,"Life endangerment, Fetal anomaly, Health","Post-viability ban - Del. Code tit. 24, § 1790 (b) ( Full Title: Del. Code tit. 24, § 1790. Termination of pregnancy before viability not prohibited; termination of pregnancy after viability limited.)","The exception for fetal anomaly applies when there is not a reasonable likelihood of the fetus's sustained survival outside the uterus without extraordinary medical measures. Del. Code tit. 24, § 1790",No requirements,,,0,,,,,,0,,,,,,,,,0,,,0,,,0,,
District of Columbia,12/1/2018,12/1/2018,0,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,0,,,0,,
Florida,10/1/2018,12/1/2018,1,"Third trimester ban - Fla. Stat. § 390.0111 (1) ( Full Title: Fla. Stat. § 390.0111. Termination of pregnancies.), Partial-birth abortion ban - Fla. Stat. § 390.0111 (5) ( Full Title: Fla. Stat. § 390.0111. Termination of pregnancies.)",,1,Third trimester ban - Fla. Stat. § 390.0111 (1) ( Full Title: Fla. Stat. § 390.0111. Termination of pregnancies.),,3rd trimester,Third trimester ban - Fla. Stat. § 390.0111 (1) ( Full Title: Fla. Stat. § 390.0111. Termination of pregnancies.),There are two bans in Florida: a third trimester ban (Fla. Stat. § 390.0111 (1)); and a post-viability ban (Fla. Stat. § 390.01112 (1)).,"Life endangerment, Serious health risk",Third trimester ban - Fla. Stat. § 390.0111 (1) ( Full Title: Fla. Stat. § 390.0111. Termination of pregnancies.),The exception for serious health risk is limited to physical health. Fla. Stat. § 390.0111 (1).,"Must be performed in a hospital, Must use a method most likely to result in fetal survival, Second physician must certify the exception","3rd trimester standard of care - Fla. Stat. § 390.0111 (4) ( Full Title: Fla. Stat. § 390.0111. Termination of pregnancies.), Hospital requirement - Fla. Stat. § 797.03 (3) ( Full Title: Fla. Stat. § 797.03. Prohibited acts; penalties.), Third trimester ban - Fla. Stat. § 390.0111 (1) ( Full Title: Fla. Stat. § 390.0111. Termination of pregnancies.)",One physician may certify the exception if they also certify that another physician was not available for consultation. Fla. Stat. § 390.0111 (1); Fla. Stat. § 390.01112 (1).,0,,,,,,1,"Partial-birth abortion ban - Fla. Stat. § 390.0111 (5) ( Full Title: Fla. Stat. § 390.0111. Termination of pregnancies.), 2nd partial-birth ban - Fla. Stat. § 782.34 ( Full Title: Fla. Stat. § 782.34. Partial-birth abortion.)",,Partial-birth abortions,"Partial-birth abortion ban - Fla. Stat. § 390.0111 (5) ( Full Title: Fla. Stat. § 390.0111. Termination of pregnancies.), 2nd partial-birth ban - Fla. Stat. § 782.34 ( Full Title: Fla. Stat. § 782.34. Partial-birth abortion.)",,Life endangerment,"Partial-birth abortion ban - Fla. Stat. § 390.0111 (5) ( Full Title: Fla. Stat. § 390.0111. Termination of pregnancies.), Partial-birth exceptions - Fla. Stat. § 782.36 ( Full Title: Fla. Stat. § 782.36. Exceptions.)",,1,"Partial-birth ban unconstitutional - A Choice for Women v. Butterworth, 54 F.Supp.2d 1148 (S.D. Fla. 1998) ( Full Title: A Choice for Women v. Butterworth, 54 F.Supp.2d 1148 (S.D. Fla. 1998)), 2nd partial ban unconstitutional - A Choice for Women v. Butterworth, 2000 WL 34403086 (S.D. Fla. 2000) ( Full Title: A Choice for Women v. Butterworth, 2000 WL 34403086 (S.D. Fla. 2000))",,1,"Partial-birth ban unconstitutional - A Choice for Women v. Butterworth, 54 F.Supp.2d 1148 (S.D. Fla. 1998) ( Full Title: A Choice for Women v. Butterworth, 54 F.Supp.2d 1148 (S.D. Fla. 1998)), 2nd partial ban unconstitutional - A Choice for Women v. Butterworth, 2000 WL 34403086 (S.D. Fla. 2000) ( Full Title: A Choice for Women v. Butterworth, 2000 WL 34403086 (S.D. Fla. 2000))","Florida's Partial–Birth Abortion Ban Act was held unconstitutional, and the court entered a permanent injunction prohibiting the enforcement of Fla. Stat. § 390.0111(5). A Choice for Women v. Butterworth, 54 F.Supp.2d 1148 (S.D. Fla. 1998). The court later held Florida's subsequent Partial-Birth Abortion Act unconstitutional and entered a permanent injunction prohibiting the enforcement of Fla. Stat. §§ 782.34 and 782.36. A Choice for Women v. Butterworth, 2000 WL 34403086 (S.D. Fla. 2000).",0,,
